PALABRA;CALIFICACION
antisemitismo;-1,0000
bonus;,0000
socio;,0000
cerro;-1,0000
todavia;,0000
alcanzar;,0000
titere;1,0000
historico;,0000
mangante;1,0000
cleo;,0000
editora;,0000
nubarron;1,0000
buenas;1,0000
ciudad;,0000
permanece;1,0000
metr;1,0000
esquivar;-1,0000
desastrosa;-1,0000
sanguinario;1,0000
cogidos;1,0000
estructurales;-1,0000
abandonada;,0000
valen;,0000
flipar;1,0000
subida;,0000
interrumpa;1,0000
congelarse;1,0000
desorganizacion;1,0000
lunatico;1,0000
masajes;1,0000
talante;,0000
florecer;,0000
agencia;,0000
vinculada;1,0000
gentileza;,0000
apague;,0000
sal;,0000
convalidar;1,0000
insensatez;1,0000
bose;,0000
hablas;,0000
armaremos;1,0000
fantastico;1,0000
trampa;,0000
pesima;-1,0000
estudiado;,0000
volverla;1,0000
cruzado;,0000
gemas;,0000
ensangrentada;1,0000
explicas;1,0000
corregidos;1,0000
planto;,0000
marinera;1,0000
computo;,0000
condicionen;1,0000
machistas;,0000
frustrarla;1,0000
tocamos;,0000
galardones;1,0000
vigilantes;,0000
sobran;,0000
conseguir;1,0000
tranquilos;,0000
tolerar;1,0000
curadas;1,0000
miento;1,0000
pactados;,0000
explotada;1,0000
manifestandose;1,0000
impresionantes;,0000
recuperar;1,0000
extranando;1,0000
comedia;1,0000
temblado;-1,0000
rascar;1,0000
pipas;1,0000
expedientar;-1,0000
motiva;1,0000
billones;,0000
audacia;,0000
pieden;1,0000
mirarnos;,0000
alimentan;,0000
alturas;-1,0000
siendo;,0000
qui;-1,0000
retroactivas;,0000
inyecta;,0000
hipnotizada;1,0000
estrategico;,0000
desconectar;,0000
pactadas;,0000
local;,0000
periodica;1,0000
hiperactiva;1,0000
despedirlo;1,0000
asesinar;-1,0000
diputacion;,0000
replanteando;1,0000
negro;,0000
estafadores;-1,0000
tribunal;-1,0000
facilito;1,0000
instituto;,0000
convencerles;1,0000
nacionalismos;1,0000
trabajar;1,0000
aceptable;1,0000
reaccionan;-1,0000
autopsia;,0000
obligaran;-1,0000
argumentaban;1,0000
confiar;1,0000
importadores;1,0000
sordos;,0000
gota;,0000
quemando;-1,0000
apasionadamente;1,0000
provisionales;,0000
desempleado;1,0000
prohibirlo;1,0000
apretamos;1,0000
establecimiento;-1,0000
esclavitud;,0000
saluda;1,0000
ejercicios;-1,0000
limitaremos;1,0000
terapeutico;,0000
sueco;-1,0000
falte;-1,0000
libros;1,0000
productivo;1,0000
flacas;1,0000
verlo;,0000
sobrecogedores;1,0000
pugne;1,0000
lesionado;,0000
pastel;,0000
pesados;-1,0000
detallaremos;1,0000
ningun;,0000
implicita;1,0000
muller;1,0000
fascina;1,0000
fotografa;,0000
majestades;1,0000
ovacion;1,0000
admirado;1,0000
discriminado;1,0000
incluso;,0000
culminara;1,0000
barrotes;1,0000
gracias;1,0000
denunciado;-1,0000
enviado;,0000
penosa;-1,0000
vengar;1,0000
entrego;,0000
escritores;,0000
negociando;,0000
confundiendo;1,0000
inseguridad;-1,0000
reventar;,0000
inmoralidad;-1,0000
acuerde;1,0000
organizado;,0000
detecto;,0000
malpensado;1,0000
contrataciones;1,0000
encargado;,0000
maquinaria;,0000
anticipada;1,0000
radica;,0000
anochece;,0000
indignaran;1,0000
nacion;,0000
solventar;1,0000
tirando;,0000
apelando;,0000
circo;,0000
comes;,0000
sigas;,0000
controvertidos;,0000
pila;,0000
enviar;,0000
ridiculiza;-1,0000
autonomia;,0000
permanecido;1,0000
desfavorecidas;1,0000
alabanzas;1,0000
volando;,0000
disculpado;1,0000
desarrollen;1,0000
programaticas;1,0000
detrimento;1,0000
perfilando;1,0000
retrocesos;1,0000
cercan;1,0000
partido;1,0000
poseido;1,0000
perfume;1,0000
opiniones;,0000
corbata;,0000
derrotada;,0000
afirmar;,0000
favorece;1,0000
moderador;1,0000
huracan;,0000
guerrilleros;,0000
legales;,0000
gobernados;1,0000
citarle;,0000
movil;,0000
novelas;,0000
percibida;1,0000
amnistiados;,0000
tentado;,0000
delicioso;1,0000
manifiesta;,0000
fabricacion;,0000
regulador;,0000
veterana;,0000
retumba;1,0000
ilustra;,0000
fascista;-1,0000
parciales;,0000
consternacion;1,0000
destruidos;1,0000
prematuras;1,0000
freak;,0000
aprovecharse;1,0000
imputan;-1,0000
socializa;1,0000
fulgurante;1,0000
recesivo;-1,0000
madruga;,0000
sorprendieron;1,0000
automaticamente;-1,0000
prevenida;1,0000
confusas;-1,0000
conocidos;1,0000
pringao;1,0000
modernos;1,0000
recurso;,0000
ubican;-1,0000
constitucion;,0000
crepusculo;1,0000
desconfianza;,0000
titularse;1,0000
tecnico;,0000
silenciosos;,0000
desaparece;,0000
desarticula;,0000
infiltrado;,0000
fiables;1,0000
guiada;,0000
lado;,0000
inaugurando;,0000
fincas;1,0000
refrescos;1,0000
imaginarlo;1,0000
delincuentes;-1,0000
habitacion;,0000
tostadas;1,0000
desaforado;1,0000
injerto;1,0000
dentro;,0000
papela;1,0000
combatiendo;,0000
feroces;1,0000
publicista;1,0000
dir;,0000
atender;,0000
flipo;1,0000
picado;,0000
mensuales;,0000
calienta;,0000
sanciona;,0000
delincuencia;-1,0000
jubilen;,0000
trozo;,0000
visitas;,0000
puestos;,0000
buscaremos;1,0000
propuesta;,0000
brava;1,0000
evitado;,0000
voluntariado;1,0000
formo;-1,0000
bloque;-1,0000
lesionen;1,0000
lucidas;1,0000
invitando;1,0000
lesbico;1,0000
alcaldes;,0000
audiencia;,0000
establecidos;-1,0000
faroles;1,0000
boyantes;1,0000
nominada;1,0000
vomitar;1,0000
saberse;,0000
goleadores;1,0000
ilicitas;1,0000
concierto;,0000
formar;,0000
tip;-1,0000
celebraciones;1,0000
respaldado;1,0000
cientificamente;1,0000
halagando;1,0000
descendamos;1,0000
fotografiaran;1,0000
inhibidores;,0000
original;1,0000
dedico;1,0000
vestidas;1,0000
inclemencias;,0000
podrian;,0000
enfocados;1,0000
gangrena;1,0000
libramos;1,0000
idealista;1,0000
indudablemente;1,0000
recomendaba;1,0000
pablo;,0000
participante;1,0000
pres;,0000
violento;-1,0000
eje;,0000
desigualdad;-1,0000
separado;,0000
precisos;1,0000
divinas;1,0000
requisito;,0000
apodo;1,0000
gordito;,0000
detenidos;,0000
vasos;,0000
fascistas;-1,0000
hermosos;1,0000
corrales;,0000
ladro;1,0000
eligen;,0000
propietarios;,0000
dialectica;,0000
sobrar;1,0000
degenerando;1,0000
curso;,0000
espan;,0000
moja;,0000
paros;-1,0000
ahorra;,0000
asociados;,0000
animo;1,0000
ofrecen;,0000
iluminara;1,0000
prestamista;1,0000
liderarles;1,0000
detenerlos;1,0000
colarme;1,0000
comitiva;,0000
impuesto;-1,0000
continuidad;1,0000
amar;,0000
new;,0000
provinciales;,0000
depositadas;1,0000
economicamente;1,0000
introduccion;,0000
controlara;,0000
tematicos;1,0000
derroche;,0000
defiendes;,0000
sopapo;1,0000
pacificos;,0000
decido;,0000
sacrifican;-1,0000
comunitaria;-1,0000
definitivamente;,0000
empenen;1,0000
injustas;,0000
pasaban;-1,0000
debacle;-1,0000
refugiarse;1,0000
guardarlo;1,0000
delgado;,0000
intrusismo;1,0000
implicaciones;1,0000
paladar;1,0000
presentaremos;,0000
contemple;1,0000
heros;,0000
quitaran;1,0000
hartas;-1,0000
nominados;1,0000
destruyen;-1,0000
sida;-1,0000
gases;-1,0000
prudenci;1,0000
robadas;1,0000
categorias;,0000
contesto;,0000
diagnosticas;1,0000
contrastamos;1,0000
inquisitorial;,0000
salud;,0000
prosperidad;1,0000
image;1,0000
pasaba;,0000
alentando;1,0000
comunicarlo;1,0000
chivato;,0000
curiosos;1,0000
monte;,0000
festejaron;1,0000
graficas;1,0000
golpistas;-1,0000
plano;,0000
prometed;1,0000
jubilarse;,0000
excedencia;1,0000
fabricados;1,0000
rejuvenecimiento;,0000
sensible;1,0000
innovando;1,0000
air;,0000
melancolico;1,0000
calidad;1,0000
llegaba;-1,0000
escritas;,0000
llamativos;,0000
cuestion;,0000
protest;,0000
graciosa;1,0000
serbio;-1,0000
aventaja;1,0000
feos;-1,0000
narcisismo;,0000
mamen;1,0000
aparente;1,0000
imprescindibles;,0000
lloras;1,0000
detalla;,0000
flor;,0000
patriotica;1,0000
alarmo;1,0000
esculturas;1,0000
condecora;1,0000
situar;,0000
portal;,0000
accedan;1,0000
mentira;-1,0000
juega;,0000
repugnar;1,0000
traicioneros;1,0000
explicita;,0000
diccionario;,0000
cato;1,0000
educa;1,0000
creencias;1,0000
sindicato;-1,0000
pote;1,0000
suaves;,0000
actualidad;,0000
vendo;1,0000
instruya;1,0000
intrigado;1,0000
tiraron;1,0000
largarlos;1,0000
nevar;-1,0000
edita;,0000
rest;,0000
aclararon;1,0000
turistica;1,0000
senala;-1,0000
filial;,0000
suenes;1,0000
condiciono;1,0000
certera;,0000
tapo;,0000
hundiera;1,0000
desgobierno;-1,0000
consumir;1,0000
felicita;1,0000
cuarenta;,0000
internamiento;,0000
presionen;-1,0000
deshumanizadas;1,0000
jugara;,0000
tardaran;-1,0000
medie;1,0000
privatizarla;1,0000
mirar;,0000
ahorramos;,0000
conforme;,0000
inapropiado;1,0000
barrero;,0000
culto;1,0000
culture;1,0000
confirmacion;,0000
dejaste;,0000
mantas;,0000
pides;1,0000
abrupto;1,0000
desaire;,0000
disconformidad;1,0000
volcada;,0000
abrasar;1,0000
implicar;1,0000
movilizacion;-1,0000
repasamos;,0000
tirania;,0000
fundo;,0000
diversos;,0000
moverme;1,0000
anotan;1,0000
olimpicos;,0000
escritora;,0000
ridiculo;-1,0000
pego;-1,0000
toleran;1,0000
recorten;,0000
palabrota;1,0000
huiremos;1,0000
publicidad;,0000
asesora;1,0000
chungo;-1,0000
demandadas;-1,0000
exhiben;-1,0000
lleguen;,0000
editores;-1,0000
lanzandole;1,0000
sirvo;1,0000
asiduo;1,0000
via;,0000
arlequin;1,0000
subjetivas;1,0000
riguroso;,0000
garantizaste;1,0000
podologos;1,0000
celebracion;1,0000
estrangulamos;1,0000
regiones;,0000
decreto;,0000
acumulara;1,0000
trampear;1,0000
images;,0000
redencion;,0000
frustracion;,0000
suscribirnos;1,0000
anado;1,0000
liderando;1,0000
merecieron;1,0000
provocas;1,0000
empleadas;1,0000
sirvieron;1,0000
cenar;1,0000
asuma;-1,0000
desierto;,0000
inhibiciones;1,0000
acertada;1,0000
colision;-1,0000
deja;,0000
perplejidad;1,0000
avalando;1,0000
devaluamos;1,0000
observacion;,0000
sonado;1,0000
arrastrarse;1,0000
saldo;-1,0000
di;,0000
verifica;1,0000
consideras;1,0000
brechas;,0000
desenvuelto;1,0000
representando;1,0000
desviar;-1,0000
gratificante;1,0000
curo;1,0000
reanude;-1,0000
forman;,0000
posicionan;1,0000
raquitica;1,0000
sonaban;1,0000
purga;-1,0000
mandato;,0000
mismoses;1,0000
teniente;,0000
costear;1,0000
hermes;1,0000
presupuest;1,0000
favor;,0000
impotencia;-1,0000
calificarle;1,0000
delicias;1,0000
manejar;1,0000
coaccionado;1,0000
perfiles;,0000
historicas;-1,0000
mag;1,0000
mientan;,0000
latir;1,0000
colocado;,0000
debilitando;1,0000
proyectara;1,0000
contrastar;,0000
segado;,0000
fe;,0000
penitenciarias;,0000
col;,0000
archivado;,0000
llenarse;,0000
ceder;-1,0000
sucedido;,0000
circulo;-1,0000
obtenido;,0000
meteduras;1,0000
confusion;-1,0000
sombrio;-1,0000
incredulos;1,0000
mostre;1,0000
debatirlo;1,0000
perdi;,0000
mota;,0000
polemico;-1,0000
sevillanas;,0000
fruto;,0000
comenzo;,0000
fragmentos;-1,0000
marca;,0000
espanolismo;1,0000
readmision;1,0000
ignora;-1,0000
valiosa;1,0000
quirurgicas;1,0000
imaginando;1,0000
demandante;1,0000
facturado;1,0000
farolas;-1,0000
imaginario;1,0000
surge;-1,0000
contenida;1,0000
reflejos;,0000
tapado;,0000
ganandose;1,0000
eliseo;,0000
sumamos;1,0000
gandules;-1,0000
doctorado;-1,0000
mencionando;1,0000
demoledor;,0000
distinto;,0000
adecuadamente;1,0000
tecnologo;1,0000
emprendimiento;,0000
aconsejable;1,0000
considerara;1,0000
inolvidables;1,0000
consentir;,0000
actuas;1,0000
percebe;,0000
atasco;,0000
clavo;1,0000
valida;1,0000
captarse;1,0000
emir;1,0000
negritos;-1,0000
satisfechas;1,0000
desempleo;-1,0000
carton;1,0000
pidiendonos;1,0000
gastan;-1,0000
aprovechamiento;,0000
guardian;,0000
vuelos;-1,0000
baro;,0000
alcanzable;1,0000
peajes;-1,0000
preparandose;,0000
sobrecoge;1,0000
desahucio;,0000
cario;1,0000
mitos;-1,0000
equivocamos;1,0000
soltado;,0000
dedicaba;1,0000
siguientes;,0000
escondido;-1,0000
pas;1,0000
conducta;,0000
alabando;1,0000
rasguen;1,0000
estorbo;1,0000
respaldan;1,0000
arcaicos;1,0000
suponen;,0000
paradojas;-1,0000
confiemos;1,0000
llamarme;-1,0000
epocas;-1,0000
reapariciones;1,0000
delibera;1,0000
encantaba;1,0000
injuriaba;1,0000
peligrosas;-1,0000
nominativas;,0000
abandona;,0000
robado;-1,0000
quer;1,0000
cobrara;,0000
asesinada;-1,0000
geologica;1,0000
indicara;1,0000
orgullosa;1,0000
impreciso;1,0000
republicano;,0000
munon;1,0000
alejarla;1,0000
signos;,0000
cazado;,0000
azotes;1,0000
subsisten;1,0000
heredada;,0000
quejemos;1,0000
medir;,0000
pesquera;,0000
incorporando;1,0000
evitara;,0000
naufragio;,0000
usar;,0000
campe;1,0000
nacionala;1,0000
acongoja;1,0000
perjudicado;,0000
divinos;1,0000
ejercicio;,0000
alucinada;,0000
criamos;1,0000
queden;1,0000
remata;1,0000
contestaciones;1,0000
nombradas;1,0000
venezolana;,0000
desvelar;,0000
reprocharnos;1,0000
panes;-1,0000
moreno;,0000
constructora;,0000
doblar;,0000
usados;1,0000
entrevisto;,0000
inhabilitado;-1,0000
oportunidad;1,0000
enganando;-1,0000
biografia;,0000
previa;,0000
impedimento;,0000
continuara;,0000
concursante;1,0000
bermeja;1,0000
suponiendo;-1,0000
infernal;-1,0000
infalible;1,0000
plenamente;1,0000
tostada;,0000
pele;,0000
horrendo;1,0000
malandar;1,0000
granda;1,0000
marinero;1,0000
enlazo;1,0000
grabaran;1,0000
venida;1,0000
sobrevivir;,0000
risueno;1,0000
protestando;1,0000
plasmarlo;1,0000
cabron;,0000
funcionara;,0000
influencia;,0000
escandalosa;-1,0000
diserta;1,0000
linchado;1,0000
alberga;,0000
sesgada;-1,0000
rendida;1,0000
alejarais;1,0000
reducirlos;1,0000
lineal;1,0000
arrollada;1,0000
condenados;-1,0000
desterrados;-1,0000
opinado;1,0000
posicionado;1,0000
indulta;,0000
debatimos;,0000
desmesurada;-1,0000
saudades;1,0000
proteger;,0000
perdersela;1,0000
senalando;-1,0000
juzgarlo;1,0000
informativo;,0000
madera;-1,0000
comisaria;-1,0000
resguardo;1,0000
afirmado;,0000
fallar;,0000
currando;,0000
impedirlo;-1,0000
quebrara;1,0000
difunto;1,0000
insinuaciones;-1,0000
cubri;-1,0000
espesa;1,0000
borracho;-1,0000
invitamos;1,0000
propia;,0000
solidarias;1,0000
profundizaran;1,0000
objetos;,0000
fausto;1,0000
dudo;-1,0000
motines;1,0000
parcial;,0000
debiles;-1,0000
futbolistas;-1,0000
altruismo;1,0000
salia;,0000
desordenes;1,0000
islamistas;-1,0000
conectado;,0000
gobernaran;,0000
actuamos;,0000
subscribiese;1,0000
bienal;1,0000
honrar;1,0000
punalada;-1,0000
redime;1,0000
contraida;1,0000
voten;,0000
luchador;1,0000
estudiaba;,0000
alejamiento;,0000
quejes;,0000
names;1,0000
perdidos;,0000
comparecer;,0000
pediremos;,0000
artero;1,0000
contagio;,0000
efectos;,0000
traducir;,0000
tramitar;,0000
aptitudes;1,0000
curran;,0000
gratifico;1,0000
definitivo;,0000
gourmet;1,0000
conseguidos;1,0000
reservan;1,0000
burrada;1,0000
tocara;,0000
procuraran;1,0000
libra;1,0000
tacticos;1,0000
extorsiones;1,0000
caotico;1,0000
atento;1,0000
erratas;,0000
concentrar;,0000
elasticas;1,0000
rehabilitara;1,0000
conjunta;,0000
true;,0000
reconocemos;,0000
chulos;,0000
rompieron;-1,0000
esperanzadores;1,0000
agresivo;-1,0000
ingeniosamente;1,0000
incitar;,0000
interiores;1,0000
controles;,0000
recurrir;,0000
autos;-1,0000
delito;-1,0000
angulos;,0000
remiro;1,0000
facilita;,0000
negras;,0000
irresponsables;-1,0000
pinto;,0000
anestesia;,0000
rebeliones;1,0000
apresurada;1,0000
tripa;,0000
definido;1,0000
composicion;,0000
taza;,0000
cookie;1,0000
generoso;1,0000
insultando;-1,0000
abordando;1,0000
levantando;,0000
constatan;1,0000
veterano;,0000
copiarlas;1,0000
fenomeno;1,0000
asegurarme;1,0000
testimonio;,0000
enfermeras;1,0000
camaradas;1,0000
nadie;,0000
propugna;1,0000
pese;,0000
traicionara;1,0000
acer;1,0000
hermando;1,0000
legitimamente;1,0000
correspondencia;1,0000
jorge;,0000
comidas;,0000
necesito;1,0000
tributaria;-1,0000
empatar;,0000
descentralizar;1,0000
alucinacion;1,0000
espicha;1,0000
anulan;1,0000
superaba;1,0000
descarto;1,0000
patrioterismo;1,0000
campamentos;1,0000
bienes;1,0000
derechismo;1,0000
sembro;-1,0000
delegaciones;,0000
explota;,0000
desconfia;1,0000
confianza;1,0000
mejores;1,0000
celebrandolo;1,0000
opaco;1,0000
tatu;,0000
siempre;,0000
azucarado;1,0000
obesidad;-1,0000
relatividad;,0000
fliparas;1,0000
nominar;1,0000
manipulados;1,0000
collar;,0000
polaco;,0000
bailan;1,0000
externo;1,0000
unanimemente;1,0000
sepa;,0000
leidos;1,0000
decimo;,0000
secuestrada;,0000
banador;-1,0000
llevado;,0000
parientes;,0000
arbitros;,0000
suceso;-1,0000
desplaz;1,0000
articulos;,0000
lamentabais;1,0000
educativos;,0000
dictadura;-1,0000
avivan;1,0000
mesura;1,0000
acumularemos;1,0000
colgue;1,0000
tarjeta;-1,0000
concejal;,0000
libran;1,0000
estrangulando;1,0000
artificialmente;,0000
contestaban;1,0000
nevera;,0000
amiga;1,0000
aborten;,0000
precedentes;,0000
anonimas;1,0000
ocurriendo;,0000
laico;,0000
lucidez;,0000
operaciones;,0000
remediar;,0000
entrevistan;,0000
relacionamos;1,0000
alicientes;1,0000
pip;-1,0000
respaldadas;,0000
colmadas;1,0000
escalada;,0000
soma;1,0000
malicioso;1,0000
aventureros;1,0000
opcion;,0000
hormonas;1,0000
vinculadas;1,0000
equivocaban;1,0000
mostrar;,0000
ejercen;1,0000
reactivan;1,0000
despejado;1,0000
armado;,0000
suspensiones;1,0000
lleve;,0000
dudan;-1,0000
devaluada;1,0000
proveedores;,0000
presupuesto;-1,0000
pisa;,0000
bloqueos;-1,0000
caracterizado;1,0000
rechazase;1,0000
trio;,0000
vicepresidencias;1,0000
exportar;,0000
triunvirato;1,0000
ideado;1,0000
proporcionar;1,0000
vid;1,0000
vial;,0000
recriminan;1,0000
mafiosos;1,0000
bajes;-1,0000
laves;1,0000
poblado;,0000
concentra;1,0000
avanzamos;1,0000
considerarlos;1,0000
volvo;1,0000
aplicaremos;1,0000
emitimos;1,0000
pensando;,0000
convertirse;,0000
caracteristica;1,0000
institutos;,0000
diabetico;1,0000
adentro;,0000
potenciaremos;1,0000
abre;,0000
propiciado;1,0000
personal;,0000
excluyendo;,0000
navegando;1,0000
tsunami;-1,0000
elemento;,0000
biologicos;1,0000
lima;,0000
seguidoras;1,0000
negativa;-1,0000
superviviente;,0000
habitualmente;,0000
aprobarla;1,0000
firmemente;1,0000
beneficiaron;1,0000
chinches;-1,0000
amarga;,0000
obstaculo;,0000
inamovibles;1,0000
subirlas;1,0000
quiebras;,0000
arengar;1,0000
ocultar;-1,0000
arduo;1,0000
arropada;1,0000
innovar;1,0000
emergencia;-1,0000
deslumbran;1,0000
escuelas;,0000
intermitente;1,0000
apuntalo;1,0000
gratuitas;1,0000
entusiasmarse;1,0000
mendigos;-1,0000
manzano;-1,0000
confrontacion;-1,0000
preparadores;1,0000
encarnara;1,0000
asqueroso;1,0000
extravagantes;1,0000
intentando;,0000
espanolista;1,0000
reflexion;,0000
ensenandole;1,0000
espionajes;1,0000
moderadamente;1,0000
iberica;,0000
inyectando;1,0000
tirandolo;1,0000
escapada;-1,0000
triunfadores;1,0000
tramitan;1,0000
brama;1,0000
victimismo;-1,0000
maltrato;-1,0000
desactivar;1,0000
secundaran;1,0000
especie;,0000
calculaba;1,0000
simulador;,0000
operadora;1,0000
indultando;,0000
posiciones;-1,0000
carr;1,0000
constantemente;1,0000
informamos;1,0000
pintan;-1,0000
apoliticos;1,0000
enfrentan;-1,0000
aportamos;,0000
efectiva;,0000
pavos;,0000
despegando;1,0000
disminuido;,0000
ensenanza;,0000
cantaba;,0000
condecorada;1,0000
presentes;1,0000
fijarnos;1,0000
nombrado;,0000
iniciaremos;1,0000
respectivas;1,0000
granen;,0000
morosas;1,0000
coloco;-1,0000
ocultado;-1,0000
negocie;,0000
rasgan;1,0000
tomemos;1,0000
logran;,0000
cumplen;,0000
cambiaron;-1,0000
mueven;-1,0000
adi;1,0000
solicitamos;1,0000
mediado;1,0000
preventivamente;,0000
apruebe;,0000
repuesto;,0000
aplaude;1,0000
moje;,0000
despertado;-1,0000
estafaron;1,0000
modesto;1,0000
nuev;1,0000
ajustara;,0000
negocian;1,0000
idoneo;1,0000
setas;,0000
estancos;-1,0000
transita;1,0000
tenerla;,0000
incendios;-1,0000
rastrillo;-1,0000
tutela;,0000
puzzle;1,0000
enviarle;,0000
racion;1,0000
adelante;,0000
conviviendo;1,0000
encuentren;,0000
envenenada;1,0000
superando;1,0000
llevarla;,0000
vigencia;,0000
dibujandome;1,0000
italianos;-1,0000
conclave;,0000
exito;1,0000
silenciar;1,0000
vendida;1,0000
volcan;,0000
automatico;-1,0000
veloces;1,0000
abandonaran;1,0000
escuchar;1,0000
salvaguarda;1,0000
permitimos;1,0000
prada;,0000
sermones;1,0000
elegancia;1,0000
expert;,0000
maltratador;1,0000
masacre;,0000
elegiste;1,0000
presidencial;-1,0000
pronunciado;,0000
adoctrine;1,0000
unanimidad;,0000
picaran;1,0000
gestor;,0000
pujan;1,0000
merodeaban;1,0000
sentencias;,0000
abundancia;1,0000
manipular;-1,0000
delitos;-1,0000
borrarme;1,0000
talar;1,0000
arrancada;1,0000
comentarios;,0000
lavados;,0000
prescindir;,0000
restante;-1,0000
regularmente;1,0000
imposible;-1,0000
significado;,0000
articulista;1,0000
preparando;1,0000
peruano;1,0000
human;-1,0000
derrumba;,0000
transporte;,0000
mima;1,0000
frivola;1,0000
descansos;1,0000
librarse;,0000
aprecia;1,0000
imputando;1,0000
tropieza;1,0000
urgente;,0000
cegados;,0000
complicara;1,0000
joven;,0000
muda;,0000
corridas;-1,0000
public;,0000
altercados;1,0000
sala;,0000
rojas;,0000
ces;,0000
debes;,0000
sentado;,0000
oxido;1,0000
tejer;1,0000
chuches;-1,0000
desangrada;1,0000
calla;,0000
coaccionada;1,0000
acercarme;,0000
imperialista;1,0000
arranquemos;1,0000
pelicula;,0000
aprenderse;1,0000
descubres;,0000
vendido;1,0000
prever;1,0000
preestreno;,0000
pales;1,0000
enrollada;1,0000
equivocan;-1,0000
precipitandose;,0000
esteriles;,0000
funcionamiento;,0000
podar;,0000
liberan;,0000
cera;,0000
cordialidad;1,0000
bombardeados;1,0000
notan;-1,0000
aparenta;,0000
faenar;-1,0000
reservado;1,0000
bocatas;1,0000
posesion;,0000
habilitara;,0000
aprenden;1,0000
soleado;1,0000
renego;1,0000
perderla;,0000
negocios;,0000
vislumbrar;1,0000
reponiendo;1,0000
basados;,0000
atlanta;-1,0000
desaceleracion;-1,0000
anda;,0000
autonomico;,0000
encantaron;1,0000
aragon;,0000
vista;,0000
circular;,0000
desierta;,0000
ocasion;1,0000
neutralizar;1,0000
alba;,0000
alentador;1,0000
apoyar;,0000
fumando;,0000
mario;,0000
camorra;-1,0000
regreso;1,0000
fatiga;,0000
logica;,0000
contagia;1,0000
consensuara;1,0000
perder;,0000
bajarse;-1,0000
engano;-1,0000
desconcertado;1,0000
trata;,0000
donaron;1,0000
seriosidad;1,0000
malsana;,0000
