"","corrupto"
"abastecedor",0.06
"aboga",0.06
"aboque",0.06
"abusivas",0.06
"abusivo",0.06
"aceche",0.06
"acepción",0.06
"✍🏻acérquese",0.06
"aclaro",0.06
"acudido",0.06
"alarmado",0.06
"alejaban",0.06
"aliarse",0.06
"almorzamos",0.06
"anticiparse",0.06
"apresando",0.06
"apuntaciones",0.06
"arraigado",0.06
"arriesgo",0.06
"atea",0.06
"ateo",0.06
"atrevían",0.06
"autistas",0.06
"autoritarios",0.06
"avergüence",0.06
"brillen",0.06
"burocratiza",0.06
"callaban",0.06
"calumniado",0.06
"cambiado…",0.06
"campaña2014",0.06
"canas",0.06
"capaci",0.06
"carambola",0.06
"carcomido",0.06
"cartoons",0.06
"cdenfontibón",0.06
"centralizado",0.06
"chispotió",0.06
"cne_colombia",0.06
"cochino",0.06
"cochinos",0.06
"colombanos",0.06
"colombiador",0.06
"comparemos",0.06
"condecorar",0.06
"confusiones",0.06
"conocia",0.06
"construirlo",0.06
"consumista",0.06
"contestarle",0.06
"continuaba",0.06
"continuaciones",0.06
"contrabandeando",0.06
"conversé",0.06
"copartidario",0.06
"corra",0.06
"corriendo⌛️y",0.06
"corrupto👊🏼",0.06
"corso",0.06
"cosechando",0.06
"cotidianamente",0.06
"crearles",0.06
"cualitativa",0.06
"cuantitativa",0.06
"cuban",0.06
"cuidándole",0.06
"cundía",0.06
"decargue",0.06
"decentemente",0.06
"decimo",0.06
"decomisadacocaina",0.06
"déjanos",0.06
"demagogo",0.06
"democratic",0.06
"demostrarles",0.06
"denigrando",0.06
"derrocó",0.06
"desalentó",0.06
"desastroso",0.06
"despacha",0.06
"desprecian",0.06
"desprestigiarnos",0.06
"destituya",0.06
"devenido",0.06
"diezmo",0.06
"diferenciarla",0.06
"disconformidad",0.06
"discrimine",0.06
"dispensados",0.06
"disuadan",0.06
"diusabá",0.06
"draconianas",0.06
"draconiano",0.06
"duela",0.06
"dwight",0.06
"editar",0.06
"eisenhower",0.06
"ejécutivo",0.06
"ellos—",0.06
"empíricamente",0.06
"en14derrotamos",0.06
"en21derrotamos",0.06
"en23derrotamos",0.06
"en24derrotamos",0.06
"en26derrotamos",0.06
"en27derrotamos",0.06
"entones",0.06
"ersonalmente",0.06
"escandaloodebrecht",0.06
"esperábamos",0.06
"establemente",0.06
"estratagemas",0.06
"etas",0.06
"exabrupto",0.06
"excluían",0.06
"excluyen",0.06
"exiliarse",0.06
"exonomía",0.06
"explicaremos",0.06
"explicarlas",0.06
"feligrés",0.06
"final⌛️",0.06
"fírmalo",0.06
"firmatón✍🏻24",0.06
"firme✍️📋",0.06
"firmoxlosniños",0.06
"fisiológica",0.06
"fugaz",0.06
"fulgencio",0.06
"gano",0.06
"género…",0.06
"gkdz30ar8tj",0.06
"grantes",0.06
"groups",0.06
"h6l54y",0.06
"halagado",0.06
"hegel",0.06
"hegemónica",0.06
"heliotropos",0.06
"helms",0.06
"heroina",0.06
"heterofobia",0.06
"horas📋✍🏻y",0.06
"horrorizados",0.06
"hs⏱️",0.06
"humerto",0.06
"hzji30emiyy",0.06
"ignoraban",0.06
"imponerlos",0.06
"imponían",0.06
"inde",0.06
"indicativo",0.06
"inepto",0.06
"injuriosos",0.06
"iré",0.06
"juntar",0.06
"jurame",0.06
"jurisconsulto",0.06
"justic",0.06
"l0jom0",0.06
"lahistoriadelmundo",0.06
"lanzamiento",0.06
"lánzate",0.06
"latifundista",0.06
"latinoamericano",0.06
"lefebvrista",0.06
"leipzig",0.06
"lumpenizar",0.06
"lumpenizarlas",0.06
"madurismo",0.06
"maestros…",0.06
"mafioso",0.06
"mamar",0.06
"mandelas",0.06
"medellinserespeta",0.06
"medida…",0.06
"mencionaba",0.06
"mercenarias",0.06
"merecería",0.06
"meteórico",0.06
"moderaría",0.06
"momentico",0.06
"narcoabuelita",0.06
"narcovida",0.06
"niñ",0.06
"nórdicos",0.06
"normalizaría",0.06
"obediente",0.06
"ojito",0.06
"ordóñez‏",0.06
"orwellianas",0.06
"ows9er",0.06
"padecemos",0.06
"palomo",0.06
"🤟🏼para",0.06
"peló",0.06
"pensaría",0.06
"percepción",0.06
"perdura",0.06
"permisivo",0.06
"persiguiendo",0.06
"personalizan",0.06
"pescar",0.06
"⌛️plazo",0.06
"porosas",0.06
"poseemos",0.06
"pq3q30ba29g",0.06
"precandidasto",0.06
"prescindiendo",0.06
"presumir",0.06
"procreación",0.06
"procuro",0.06
"propensión",0.06
"propiciadas",0.06
"propiciador",0.06
"protuberante",0.06
"prueben",0.06
"psicobiológica",0.06
"psíquicos",0.06
"rajarán",0.06
"rajó",0.06
"ramoreguz",0.06
"rasero",0.06
"recientes…",0.06
"recogiste",0.06
"recordarnos",0.06
"rectifique",0.06
"✍🏼recuerde",0.06
"recuperemos",0.06
"referendodeprisiónperpetua",0.06
"reflexionen",0.06
"reprimiendo",0.06
"repùblica",0.06
"repudio—",0.06
"respetarlas",0.06
"respetarlo",0.06
"respetarlos",0.06
"respondían",0.06
"resumo",0.06
"rgwm304g4ti",0.06
"rígida",0.06
"rigths",0.06
"rotunda",0.06
"selectivamente",0.06
"senadogovco",0.06
"señalarlo",0.06
"señorío",0.06
"🏳️‍🌈si",0.06
"simpatías",0.06
"sindicación",0.06
"sociológico",0.06
"solidarity",0.06
"solito",0.06
"sosiego",0.06
"subdesarrollado",0.06
"sugerían",0.06
"suicide",0.06
"sumamos",0.06
"sumaria",0.06
"sustentarse",0.06
"tachas",0.06
"tactics",0.06
"tambaleante",0.06
"tapen—tapen",0.06
"taponen",0.06
"taurino",0.06
"ten…",0.06
"tildado",0.06
"tósigo",0.06
"totalitarios",0.06
"traduciendo",0.06
"traspasara",0.06
"tuerto",0.06
"umvvog",0.06
"unase",0.06
"unirá",0.06
"validando",0.06
"varoncito",0.06
"vestirse",0.06
"victimizarse",0.06
"visitaran",0.06
"votaba",0.06
"📋✍🏼",0.05
"028",0.05
"1146",0.05
"28a",0.05
"577",0.05
"alusiones",0.05
"andrespastrana_",0.05
"antojo",0.05
"atropello",0.05
"ayúdenos",0.05
"baños",0.05
"basan",0.05
"carrasquero",0.05
"cartillas",0.05
"castro",0.05
"chilavert",0.05
"conéctese",0.05
"contrariamente",0.05
"convencida",0.05
"crearle",0.05
"cuestionaron",0.05
"delatar",0.05
"desangrado",0.05
"diferencia",0.05
"dirigiendo",0.05
"disenso",0.05
"en8derrotamos",0.05
"exenta",0.05
"fascista",0.05
"fidel",0.05
"firme",0.05
"fiscal",0.05
"gobernó",0.05
"golpizas",0.05
"heterosexual",0.05
"homosexual",0.05
"índice",0.05
"institucionalizar",0.05
"interpondrá",0.05
"inventada",0.05
"lesbiana",0.05
"libertades",0.05
"lópez",0.05
"mándalas",0.05
"metrocali",0.05
"minimizar",0.05
"nace",0.05
"plazoleta",0.05
"podrás",0.05
"prisiones",0.05
"prometo",0.05
"represivas",0.05
"represivo",0.05
"reprimir",0.05
"restringida",0.05
"rincones",0.05
"rotundo",0.05
"senadora",0.05
"siento",0.05
"susana",0.05
"tajada",0.05
"vayas",0.05
"vencealcorrupto",0.05
"youtuber",0.05
"00pm",0.04
"1959",0.04
"1960",0.04
"1976",0.04
"24i1lxk",0.04
"300x210",0.04
"3er",0.04
"642",0.04
"abuchearon",0.04
"acabar",0.04
"aciertos",0.04
"act",0.04
"afrodescendiente",0.04
"alegato",0.04
"alejarse",0.04
"alfabetización",0.04
"altura",0.04
"ambivalente",0.04
"andinos",0.04
"anticipando",0.04
"anticipar",0.04
"apresurado",0.04
"apúrele",0.04
"armónica",0.04
"artunduaga",0.04
"asuma",0.04
"avalaría",0.04
"‪baja",0.04
"breves",0.04
"burton",0.04
"cachaquísimo",0.04
"camposanto",0.04
"caracterizó",0.04
"castigó",0.04
"cátedra",0.04
"ceja",0.04
"centrodemocratico",0.04
"cínicos",0.04
"citan",0.04
"claudialopez",0.04
"cloaca",0.04
"coartó",0.04
"colmo",0.04
"colmos",0.04
"colombiacorrupta",0.04
"columnistas",0.04
"—como",0.04
"completas",0.04
"comunista",0.04
"confronta",0.04
"consagró",0.04
"consejodeestado",0.04
"continuó",0.04
"contrarrestados",0.04
"controlará",0.04
"corregirse",0.04
"corrompido",0.04
"corruptor",0.04
"corruptos",0.04
"corzo",0.04
"costumbres",0.04
"critico",0.04
"cubano",0.04
"cueste",0.04
"debate",0.04
"decenal",0.04
"decidí",0.04
"décimo",0.04
"dejaría",0.04
"derivada",0.04
"derrotamos",0.04
"descalificado",0.04
"desempolvó",0.04
"desmontarlo",0.04
"desparpajo",0.04
"destapará",0.04
"detentan",0.04
"dirígete",0.04
"discrepancias",0.04
"disentir",0.04
"documentado",0.04
"editoriallr",0.04
"edo",0.04
"educa",0.04
"eliminada",0.04
"elpaiscali",0.04
"embarradas",0.04
"empiezo",0.04
"en3derrotamos",0.04
"engañarnos",0.04
"envia",0.04
"envielas",0.04
"erige",0.04
"escandalosas",0.04
"esconacciones",0.04
"espectadores",0.04
"esporádica",0.04
"estaciones",0.04
"eutanasia",0.04
"exministro",0.04
"expande",0.04
"explique",0.04
"exportada",0.04
"familia",0.04
"faro",0.04
"fascinante",0.04
"fical",0.04
"firmas",0.04
"firmemente",0.04
"formé",0.04
"formulario",0.04
"gallardamente",0.04
"gamín",0.04
"generaba",0.04
"generaciones",0.04
"genéticamente",0.04
"gobieno",0.04
"gramsci",0.04
"hábilmente",0.04
"hazlo",0.04
"hembra",0.04
"heroína",0.04
"holmes",0.04
"hormonas",0.04
"hostigados",0.04
"ignorando",0.04
"imbéciles",0.04
"importa",0.04
"impugnará",0.04
"inadecuados",0.04
"increible",0.04
"indignado",0.04
"instalamos",0.04
"intensificó",0.04
"intimidad",0.04
"intrínseca",0.04
"invocando",0.04
"iremos",0.04
"juramentar",0.04
"juzgaría",0.04
"legado",0.04
"leí",0.04
"leída",0.04
"libertinaje",0.04
"lincoln",0.04
"lío",0.04
"luminoso",0.04
"mandarlas",0.04
"mensajera",0.04
"mheo",0.04
"mínimamente",0.04
"miré",0.04
"nefasta",0.04
"no…",0.04
"novoteaconcienciavotepordanny",0.04
"oía",0.04
"oída",0.04
"oigan",0.04
"olvidarse",0.04
"opacadas",0.04
"oprobiosa",0.04
"orientar",0.04
"paramilitar",0.04
"patrimoniales",0.04
"pediatras",0.04
"pediría",0.04
"pino",0.04
"poli",0.04
"populista",0.04
"posesion",0.04
"postulé",0.04
"preguntamos",0.04
"prevaricatos",0.04
"privaciones",0.04
"procrear",0.04
"productor",0.04
"propiciaron",0.04
"propongo",0.04
"pugnas",0.04
"raúl",0.04
"recaiga",0.04
"recoja",0.04
"recomendado",0.04
"referirse",0.04
"registrese",0.04
"rehusó",0.04
"remitirme",0.04
"réplica",0.04
"reportantes",0.04
"reporto",0.04
"represión",0.04
"repudiar",0.04
"resistir",0.04
"respeta",0.04
"retornando",0.04
"reuna",0.04
"reunían",0.04
"rojos",0.04
"romperse",0.04
"salydulce",0.04
"sangrienta",0.04
"senador",0.04
"sep",0.04
"sintió",0.04
"sobrino",0.04
"socioculturales",0.04
"solicito",0.04
"tecnocracia",0.04
"tenerle",0.04
"tomando",0.04
"trasmitió",0.04
"traspasó",0.04
"uribe",0.04
"usémoslo",0.04
"vaivén",0.04
"valenzuela",0.04
"virtualmente",0.04
"votara",0.04
"voten",0.04
"$1200",0.03
"300x170",0.03
"abraham",0.03
"absurdas",0.03
"aceptaran",0.03
"acompañarnos",0.03
"actual",0.03
"agradecerá",0.03
"airoso",0.03
"aislamiento",0.03
"alimentan",0.03
"ampliamente",0.03
"anticontrabando",0.03
"anticorrupcion",0.03
"anticorruptor",0.03
"antorcha",0.03
"apodera",0.03
"apreciado",0.03
"arbitral",0.03
"arbitrarios",0.03
"arruinaron",0.03
"asusta",0.03
"atrevieron",0.03
"atrevimiento",0.03
"atropella",0.03
"avencerlacorrupción",0.03
"ayude",0.03
"balompié",0.03
"básicas",0.03
"bochorno",0.03
"bogotá‬",0.03
"boliviana",0.03
"brian",0.03
"calumnia",0.03
"calumnias",0.03
"caracterizan",0.03
"carecemos",0.03
"caribeña",0.03
"carrascal",0.03
"carteldelatoga",0.03
"cascada",0.03
"castaño",0.03
"castigos",0.03
"cedemocratico",0.03
"chocoana",0.03
"comenta",0.03
"compareció",0.03
"compartir",0.03
"comparto",0.03
"concluido",0.03
"condecoran",0.03
"conduzca",0.03
"congresista",0.03
"conocíamos",0.03
"consumida",0.03
"corporal",0.03
"correspondería",0.03
"corrupción",0.03
"cosechar",0.03
"crean",0.03
"cualitativo",0.03
"cuantiosos",0.03
"cuba",0.03
"cubanas",0.03
"curaduría",0.03
"deberíamos",0.03
"dedicará",0.03
"dedo",0.03
"demostraciones",0.03
"deplorables",0.03
"derrotarlos",0.03
"desarrolladas",0.03
"desatado",0.03
"descargue",0.03
"descendencia",0.03
"descomunal",0.03
"describir",0.03
"desesperados",0.03
"desestabilización",0.03
"designar",0.03
"desmedida",0.03
"desmonta",0.03
"desmontó",0.03
"desordenes",0.03
"desprender",0.03
"destituyeron",0.03
"detenciones",0.03
"diagnosticadas",0.03
"difamaciones",0.03
"dignos",0.03
"dije",0.03
"disfrazado",0.03
"disminuyendo",0.03
"disputa",0.03
"duterte",0.03
"ecuación",0.03
"educadores",0.03
"eliges",0.03
"elijo",0.03
"elpoderdetufirma",0.03
"empoderar",0.03
"en5derrotamos",0.03
"encarcelados",0.03
"encubiertas",0.03
"enemigo",0.03
"enfrentaremos",0.03
"engels",0.03
"enigma",0.03
"enredos",0.03
"envía",0.03
"envíalas",0.03
"enviarle",0.03
"escrúpulos",0.03
"escuché",0.03
"estallido",0.03
"estimados",0.03
"estimativos",0.03
"evaluados",0.03
"exclusividad",0.03
"exigirlo",0.03
"expidieron",0.03
"explotaba",0.03
"exprocurador",0.03
"extraditado",0.03
"facebooklive",0.03
"felipe",0.03
"filósofo",0.03
"firmar",0.03
"firmatón",0.03
"fracasaron",0.03
"frustrados",0.03
"fuete",0.03
"ganar",0.03
"genero",0.03
"geográfica",0.03
"giratoria",0.03
"goyeneche",0.03
"gradualmente",0.03
"habituales",0.03
"hermandad",0.03
"higiene",0.03
"hola",0.03
"imperante",0.03
"imperfecta",0.03
"imprenta",0.03
"incurre",0.03
"indignación",0.03
"indiscriminadas",0.03
"indiscutible",0.03
"infiltrando",0.03
"inhumanas",0.03
"injurias",0.03
"inspiraron",0.03
"intentona",0.03
"intentos",0.03
"intimidados",0.03
"invisible",0.03
"irregularidad",0.03
"jurídicamente",0.03
"juzgadas",0.03
"kienbloguea",0.03
"lamentablemente",0.03
"largos",0.03
"lavarse",0.03
"legislador",0.03
"like",0.03
"lleras",0.03
"macabra",0.03
"mañanasblu",0.03
"manda",0.03
"mandatos",0.03
"manejó",0.03
"manipuló",0.03
"manual",0.03
"medir",0.03
"mencionando",0.03
"minucioso",0.03
"mixtos",0.03
"mordió",0.03
"nal",0.03
"narcóticos",0.03
"narcotraficante",0.03
"necesitados",0.03
"negligente",0.03
"negocie",0.03
"netamente",0.03
"normalizarse",0.03
"nuevoe",0.03
"obligadas",0.03
"ocupa",0.03
"óigase",0.03
"opinión",0.03
"oscuro",0.03
"oslo",0.03
"ostentación",0.03
"oxígeno",0.03
"pacíficas",0.03
"padecían",0.03
"país",0.03
"paraguayo",0.03
"participar",0.03
"pasaban",0.03
"patrón",0.03
"pendientes",0.03
"percibido",0.03
"períodos",0.03
"permanecieron",0.03
"pésimas",0.03
"pidiéndole",0.03
"pisotear",0.03
"planean",0.03
"planteamos",0.03
"plomo",0.03
"pobre",0.03
"podrido",0.03
"políticamente",0.03
"popeye",0.03
"porosa",0.03
"potestad",0.03
"precursores",0.03
"predominantemente",0.03
"preferidas",0.03
"preservación",0.03
"preservando",0.03
"prevalece",0.03
"probo",0.03
"progresos",0.03
"promoverla",0.03
"promovida",0.03
"promueva",0.03
"próstata",0.03
"psicosocial",0.03
"quejándose",0.03
"raíz",0.03
"raul",0.03
"reciba",0.03
"recordaba",0.03
"recuadro",0.03
"referí",0.03
"reformó",0.03
"régimen",0.03
"registraduria",0.03
"reinicio",0.03
"reivindicado",0.03
"repartir",0.03
"reportar",0.03
"reproductiva",0.03
"resistencia",0.03
"respaldados",0.03
"respetabilidad",0.03
"respetar",0.03
"respeto",0.03
"restablecieron",0.03
"reveladores",0.03
"revelando",0.03
"reviva",0.03
"revocar",0.03
"riquezas",0.03
"risa",0.03
"robledo",0.03
"rojo",0.03
"rosario",0.03
"rosca",0.03
"ruedo",0.03
"salvadoreño",0.03
"sanas",0.03
"saquen",0.03
"secuestrador",0.03
"sembró",0.03
"semejante",0.03
"serebrenik",0.03
"simpatizantes",0.03
"socialismo",0.03
"sordo",0.03
"subordinado",0.03
"sucursal",0.03
"suicidios",0.03
"supervisó",0.03
"tacto",0.03
"tascón",0.03
"tea",0.03
"tele",0.03
"tempranamente",0.03
"tenebroso",0.03
"teodoro",0.03
"ternados",0.03
"trabajemos",0.03
"trafico",0.03
"trajeron",0.03
"transitan",0.03
"trasparencia",0.03
"trino",0.03
"tutela",0.03
"unesco",0.03
"uribistas",0.03
"vacía",0.03
"vargas",0.03
"variable",0.03
"veedores",0.03
"veneno",0.03
"violadas",0.03
"visitando",0.03
"vivas",0.03
"voluntarias",0.03
"vuelca",0.03
"www",0.03
"youtube",0.03
"112",0.02
"$14",0.02
"145",0.02
"167",0.02
"168",0.02
"176",0.02
"28a24",0.02
"300x175",0.02
"300x187",0.02
"42%",0.02
"8000",0.02
"90%",0.02
"abortar",0.02
"abuso",0.02
"acaso",0.02
"accionar",0.02
"acojan",0.02
"acompañados",0.02
"actuamos",0.02
"adversos",0.02
"afganistán",0.02
"afición",0.02
"afirmaciones",0.02
"áfrica",0.02
"agilizará",0.02
"agradezco",0.02
"aislado",0.02
"aislar",0.02
"alcanzados",0.02
"alcanzando",0.02
"alegrías",0.02
"alejandro",0.02
"aliado",0.02
"aliste",0.02
"alternativos",0.02
"álvaro",0.02
"ambición",0.02
"ampliada",0.02
"anímese",0.02
"anotar",0.02
"anticipa",0.02
"anticipo",0.02
"anulado",0.02
"anuló",0.02
"anunciar",0.02
"anzuelo",0.02
"apartes",0.02
"aplausos",0.02
"aplicada",0.02
"aplicarle",0.02
"apóstoles",0.02
"apoya",0.02
"apoyamos",0.02
"apoyar",0.02
"apúrate",0.02
"aras",0.02
"arbitrarias",0.02
"armar",0.02
"arreglar",0.02
"arremetida",0.02
"arremetió",0.02
"arrestos",0.02
"arribó",0.02
"articulos",0.02
"ascenso",0.02
"asistió",0.02
"atendidos",0.02
"atentamente",0.02
"atropellos",0.02
"aumentando",0.02
"ausente",0.02
"baje",0.02
"batalla",0.02
"benedetti",0.02
"blogs",0.02
"bolivia",0.02
"boliviano",0.02
"cabalmente",0.02
"cachacos",0.02
"califica",0.02
"califican",0.02
"callar",0.02
"caos",0.02
"caracterizaron",0.02
"carcel",0.02
"carta",0.02
"cartilla",0.02
"castigar",0.02
"categórica",0.02
"célebre",0.02
"celebro",0.02
"chavismo",0.02
"chavista",0.02
"ciego",0.02
"científicas",0.02
"ciro",0.02
"citadas",0.02
"clara",0.02
"clase",0.02
"clima",0.02
"cocaína",0.02
"coherencia",0.02
"colombiaserespeta",0.02
"com",0.02
"combo",0.02
"comentar",0.02
"comió",0.02
"compartan",0.02
"comprado",0.02
"compulsar",0.02
"concluye",0.02
"condenó",0.02
"confabulación",0.02
"configuración",0.02
"confirmarse",0.02
"conformación",0.02
"consideraban",0.02
"consulta",0.02
"continúa",0.02
"contratación",0.02
"convencido",0.02
"conveniente",0.02
"convocan",0.02
"cordialmente",0.02
"corferias",0.02
"coro",0.02
"corren",0.02
"correr",0.02
"corrupta",0.02
"cosa",0.02
"crearon",0.02
"creemos",0.02
"creen",0.02
"creído",0.02
"crezca",0.02
"crítica",0.02
"critican",0.02
"crítico",0.02
"cuerdas",0.02
"cultivada",0.02
"culturales",0.02
"cúpula",0.02
"curioso",0.02
"cursan",0.02
"curul",0.02
"debiera",0.02
"débil",0.02
"décadas",0.02
"decirle",0.02
"defectos",0.02
"defender",0.02
"definido",0.02
"dejes",0.02
"demandaron",0.02
"democrático",0.02
"demos",0.02
"deportivos",0.02
"derechos",0.02
"derrotar",0.02
"descendió",0.02
"despachó",0.02
"destruir",0.02
"deterioro",0.02
"difamación",0.02
"diferenciales",0.02
"digo",0.02
"dimensión",0.02
"diplomáticas",0.02
"diputados",0.02
"dirigida",0.02
"diríjase",0.02
"discurso",0.02
"discutidas",0.02
"divide",0.02
"duelen",0.02
"educacion",0.02
"educación",0.02
"educar",0.02
"ejemplarmente",0.02
"elnuevosiglo",0.02
"emblemáticos",0.02
"empeorando",0.02
"empezamos",0.02
"empiezan",0.02
"en4derrotamos",0.02
"encaminado",0.02
"enormes",0.02
"enteras",0.02
"entiende",0.02
"entregarles",0.02
"enviaron",0.02
"envíelas",0.02
"erario",0.02
"errada",0.02
"esclavos",0.02
"escogencia",0.02
"escogido",0.02
"esconclaudia",0.02
"escrita",0.02
"esfero",0.02
"esfuerzos",0.02
"eslabones",0.02
"espaldas",0.02
"especie",0.02
"esperamos",0.02
"espero",0.02
"estima",0.02
"estiman",0.02
"estímulo",0.02
"estímulos",0.02
"estuvimos",0.02
"exagerado",0.02
"excluye",0.02
"exequible",0.02
"exfiscal",0.02
"exhorta",0.02
"exigir",0.02
"explico",0.02
"expresamente",0.02
"falda",0.02
"fallida",0.02
"fatal",0.02
"february",0.02
"feligreses",0.02
"filipino",0.02
"financiadas",0.02
"financian",0.02
"formalizó",0.02
"formulan",0.02
"formularios",0.02
"frase",0.02
"frases",0.02
"frontal",0.02
"fundador",0.02
"gallo",0.02
"generalizada",0.02
"género",0.02
"generosa",0.02
"génesis",0.02
"germán",0.02
"giphy",0.02
"gobierna",0.02
"gozan",0.02
"gracias",0.02
"gratis",0.02
"gravedad",0.02
"gravísima",0.02
"guardado",0.02
"gustavo",0.02
"haré",0.02
"heredó",0.02
"hermano",0.02
"historia",0.02
"históricas",0.02
"honra",0.02
"hospitalización",0.02
"hubiere",0.02
"human",0.02
"humano",0.02
"ideas",0.02
"identidad",0.02
"idiotas",0.02
"idóneo",0.02
"imitar",0.02
"impide",0.02
"implementando",0.02
"imposiciones",0.02
"impositivo",0.02
"impunemente",0.02
"incluía",0.02
"incluyeron",0.02
"independientes",0.02
"indica",0.02
"indispensables",0.02
"inédita",0.02
"ineficaz",0.02
"informe",0.02
"iniciada",0.02
"injuria",0.02
"inmunidad",0.02
"insostenible",0.02
"instó",0.02
"insultar",0.02
"interpretación",0.02
"interpretaciones",0.02
"íntima",0.02
"introducir",0.02
"invasión",0.02
"invirtió",0.02
"invitado",0.02
"invitados",0.02
"invitamos",0.02
"isla",0.02
"jorge",0.02
"juanmansantos",0.02
"juega",0.02
"jugar",0.02
"julio",0.02
"julio20",0.02
"legalizado",0.02
"legítimos",0.02
"levantar",0.02
"liberty",0.02
"liderazgo",0.02
"lideró",0.02
"lidiar",0.02
"limitada",0.02
"limitando",0.02
"limpio",0.02
"link",0.02
"live",0.02
"llamada",0.02
"llamar",0.02
"llegar",0.02
"lleno",0.02
"lleve",0.02
"llorando",0.02
"lograremos",0.02
"logros",0.02
"luchará",0.02
"luis",0.02
"lula",0.02
"mamados",0.02
"mandatario",0.02
"manos",0.02
"mantuvieron",0.02
"marcada",0.02
"martínez",0.02
"masas",0.02
"matoneo",0.02
"medios",0.02
"merecía",0.02
"métricas",0.02
"milenio",0.02
"ministra",0.02
"miran",0.02
"modificado",0.02
"moralidad",0.02
"moralización",0.02
"moreno",0.02
"movilizar",0.02
"mudo",0.02
"mundialmente",0.02
"nacho",0.02
"naturaleza",0.02
"navarro",0.02
"navarrowolff",0.02
"necesitadas",0.02
"niños",0.02
"node",0.02
"nombramiento",0.02
"normativas",0.02
"notar",0.02
"obligar",0.02
"obtenida",0.02
"obvia",0.02
"occidental",0.02
"ocupado",0.02
"ocupando",0.02
"ofendido",0.02
"ojalá",0.02
"oligarquía",0.02
"ollanta",0.02
"opina",0.02
"opositores",0.02
"ordóñez",0.02
"orientación",0.02
"orientaciones",0.02
"pagada",0.02
"pagando",0.02
"paguen",0.02
"palabras",0.02
"párrafos",0.02
"partícipe",0.02
"participen",0.02
"pasadas",0.02
"pase",0.02
"pasen",0.02
"pasó",0.02
"patadas",0.02
"patente",0.02
"pega",0.02
"pensaba",0.02
"periodistas",0.02
"persecuciones",0.02
"persistencia",0.02
"peruanos",0.02
"perverso",0.02
"piensen",0.02
"planilla",0.02
"política",0.02
"políticos",0.02
"politiquería",0.02
"pone",0.02
"portas",0.02
"posee",0.02
"prácticamente",0.02
"prefiere",0.02
"preguntas",0.02
"prenda",0.02
"prepago",0.02
"presionó",0.02
"presunción",0.02
"pretexto",0.02
"principal",0.02
"prioridad",0.02
"privar",0.02
"procesales",0.02
"procura",0.02
"producida",0.02
"profes",0.02
"profundamente",0.02
"promovidas",0.02
"pronuncie",0.02
"propondrá",0.02
"proporción",0.02
"propuso",0.02
"psicológico",0.02
"pusiera",0.02
"rabia",0.02
"racional",0.02
"radicamos",0.02
"rajada",0.02
"ranking",0.02
"ratas",0.02
"reacciono",0.02
"realizaremos",0.02
"receptor",0.02
"recinto",0.02
"recoge",0.02
"recoger",0.02
"recogieron",0.02
"recolección",0.02
"recolectado",0.02
"recomendó",0.02
"recomiendo",0.02
"reconocerlo",0.02
"reconozco",0.02
"recorriendo",0.02
"recuerden",0.02
