comentario,polaridad
"Ex presidente y Doctor Alvaro Uribe mis Respetos , promueva una Marcha y Otro Punto hablo con varias personas y te Apoyan , pero no saben ni siquiera que es el Centro Democrático 🤔es Preocupante y se pueden Perder muchos Votos , desde ahora cuál es el Nuevo Cambio desde sus Perspectiva ! ( Dios está Con COLOMBIA 🇨🇴)",0
Dr Uribe no vale la pena desgastarse con esa (Claudia Lopez) qué El Señor lo siga bendiciendo 🙏,0
Claudia lopez presidente,0
"Pasará a la Historia Juan Manuel Santos. Perseverante, pese a los adversarios. Por poner fin a más de 50 años de Guerra. Felicitaciones.",1
"Daniel Samper, esto plateros se habian demorado en hacer su ilustre teatro de indignación... no recuerdas lo que paso con Jaime Garzón??.. para la muestra un botón!! No dejes que pisoten tu integridad!! Muchos colombianos te apoyamos..!! Buena energía...y no tengas miedo!! Que a buena hora, tenemos las redes sociales donde ya no pueden tapar el sol con un dedo. ❤❤❤",1
"Vamos Dra. Claudia López, hay q acabar con los delfines 🐬 q son los corruptos de nuestros impuestos. ¡¡Despierta pueblo!!",1
Lo único malo de Daniel Samper es que es hincha de Santa Fé 😊😊😊,0
"Matador, no entiendo lo de las Crocs",0
Bendiciones Juan Manuel Santos,1
Claudia Lopez presidente...100% apoyo desde Antioquia,1
"Asi como Vendio el rio Rancheria o se apodero de las tierras de la nacion o le dio a las Multinacionales que arrazaran nuesteos recursos , Mentiroso ... @AlvaroUribeVelez  💛💙💖 Ni Arrodillado le Creemos Egresado Sena Hoteleria  Claudia López - Primera Mujer Presidente de Colombia",-1
Gracias presidente Juan Manuel Santos. Dios lo bendiga siempre! 👍,1
"Toca leer para instruirse, quien, y desde cuando se creó la ley 100 es otra cosa que en el gobierno de Álvaro Uribe, haya tocado aplicarla, independientemente de quién estuviera de presidente",0
"Ojalá y esos q critican la gestión excelente del señor expresidente Alvaro Uribe ,no retornen a futuro a denunciar la mala gestión administrativa de la izquierda mamerta q al final solo buscan disfrazarse de oveja cuando en lo más profundo de su disfraz solo traería mala calidad de vida a todos los COLOMBIANOS al cuarta el libre desarrollo económico.",-1
Señor Alvaro Uribe Velez; yo tambien soy militante del centro democratico y una ciudadana respetable; mi familia lo ha ayudado en las votaciones de manera abrumadora en togui boyaca donde mis primos fueron los ultimos alcaldes; Lo admiraba;  pero usted  deberia fijarse a quien respalda en cajica; marita perilla no es la ciudadana que ud piensa; tomese el tiempo para preguntar antes de dar su apoyo incondicional violando mi presuncion de inocencia.,-1
Colombia necesita a nuestro presidente Álvaro Uribe,0
Grande Daniel Samper,1
saludos Daniel Samper Ospina,0
Apoyo total a ALVARO URIBE VELEZ,1
"Daniel Samper Ospina no saque las cosas de contexto y menos busque hacerse la víctima de cuando acá usted es tan puro y sin mancha, si bien no soy Uribista y menos santista.  usted la cago hablanso de esa niña Amapola de 3 meses no confunda libertad de expresión con matóneo  en un problema de adultos los niños non tiene nada que ver o a usted le gustaría que se burlaran de sus hijas . piense un poco en su afán de crear tráfico en la web y creerse muy cómico la embarro y esta claro que esa demanda no va terminar en nada.",-1
Daniel Samper Ospina      que romántico ... todo lo que inspira la Cabal 😂😂😂,1
Excelente mi señor PRESIDENTE ALVARO URIBE...PALADÍN DE LA PATRIA.,1
DIos bendiga a Claudia Lopez y le de fuerzas para seguir enfrentando esa manada de Leones y Ratas.,1
"Juan Manuel santos y si la guerrilla moto toda tu familia q ? Quien ve ayudar a esos huérfanos , aaa verdad juan Manuel santos esta es ayudando a los cicarios.",-1
"Asi es Señor Alvaro Uribe Veles, nuestra amada Colombia cada dia esta peor, solo la mano de DIOS.",0
"Te quiero mucho Daniel Samper Ospina intelectuales como tú demuestran que en este país no todo es droga y prepagos, gracias",1
Todo mi apoyo a Daniel Samper. Uribe está llenando de odio a este país. Cuando los colombianos se darán cuenta del daño que nos hace,0
Ay:Dios yo te pido k gane el Centro Democratico k Viva el presidente Alvaro Uribe Velez digan lo k digan el mejor presidente k hemos tenido k Dios los bendiga,1
Muy buenos días doctor alvaro uribe,0
"Alberto garcia"" que yo le pido adiós que el precidente Juan Manuel santos quelogre el feliz terminó la firmada de los acuerdo de paz para ber si termina la violencia en colombiano  que dios los bebdiga",1
hey Daniel Samper Ospina còmo hacer para comprar directamente a los campesinos????,0
Grande Matador! Dios te guarde,1
jajajjajajajajajaj  buena matador.,1
Pa lante con usted Alvaro Uribe presidente,1
"Claudia López, Fajardo, Jorge Enrique Robledo Castillo. Falta Gustavo Petro. De lo contrario, Vargas Lleras presidente. Dejen sus egos.",0
"Así se habla Doctor Alvaro Uribe Velez,el mejor presidente que ha tenido Colombia,te amamos con el corazón.❤️❤️ Bienvenido nuevamente,Dios te Bendiga.👏👏👏👏👏👏👏👏👏👏👏",1
"""seudoperiodistas"" como las calumniadoras ""semanales"", daniel coronell  y ""la gordota marimacho"".",-1
Muchas gracias señor presidente Juan Manuel santos Calderón.,1
En Colombia no havera otro presidente como Álvaro Uribe Vélez,0
"Daniel samper. Realmente eres admirable, hacer pedir perdón al más temible político, al más difamador, al más peligroso, al más corrupto, Daniel sos grande, mis felicitaciones y mis respetos.",0
Vamos todos a luchar por nuestro pais junto al doctor Alvaro Uribe y sus candidatos que estan haciendo bien su trabajo. Tenemos que poner cada uno de nosotros nuestro granito de arena para levantar Colombia del desastre que nos deja Santos. Tenemos que pesar bien por quien vamos a votar no queremos izquierdistas socialistas ni comunitas.,0
Vamos con todo acompañando a una mujer que está segura que el cambio es posible. Todos con Claudia López,1
Ninguno es corrupto todos son ángeles pero felicitó a Robledo y Claudia López,0
"El Sí Implicaría entregarle el País a los Comunistas ASESINOS, no caigan en la trampa de Juan Manuel Santos, entregarles el pais a la Guerrilla, por favor ese es un País Prospero, por favor vean y analicen, como estamos en Venezuela, véanse en este espejo, luego no digan que no se lo dijimos, No Acepten ser gobernados por asesinos TERRORISTAS....",-1
"Por eso había que apoyar la propuesta anticorrupcion de Claudia López, pero una gran cantidad de personas se fijaron fue en otras cosas.",0
Daniel samper usted lo que es es un hp,-1
"The Words Respect and Appreciation and Congratulations From    Bobby Haynes, www.luxuryresortconcierge.com  Juan Manuel Santos - Presidente.",0
"Escuchar hablar a este man, ya uno sabe de que va su siguiente video o columna o lo que sea, aclaro no soy uribista, mucho menos santista, pero por favor no sean monotematico, deje de disfrazar el amor que le tiene a Álvaro Uribe Vélez, mejor dicho que seria de Ud sin AUV... deje de llorar por maricadas, simplemente le pagaron con la misma moneda que UD esta acostumbrado a dar...",-1
"Daniel Samper Ospina ¿y sus difamaciones? y falta de respeto para una bebe de tres meses y a todos los que nos duele Uribe?cuando le dieron la investidura de ente acusador?, tiene el ego tan pero tan alto que no puede reconocer que se ha equivocado.",-1
Q viva el Gobierno de Uribe q Dios lo venga y q el fue el mejor y lo sigue siendo duelale al hp q le duela viva Álvaro Uribe Vélez,1
"Fuerza total para Daniel Samper Ospina, la libertad de expresión no se debe postrar a nadie, menos a nadie como Uribe.",0
Adelante Matador😀 a sigue con tus caricaturas,0
Completamente de acuerdo contigo Claudia López yo voy a votar por primera ves en toda mi vida... y lo are para tratar de salvar nuestro país de la mierda en la que esta... mi voto es tuyo por convicción futura presidenta y por favor hay que pedir seguridad internacional no quiero que me le vayan y hacer algo... que dios la cuide siempre mi héroe...,1
He Matador te voy a nominar a premio Pulitzer Prizes This guy is a really good cartoon master 👍 Please take note for future nominations 👍,1
ME ENCANTA Álvaro Uribe Vélez,1
Los q están con la cizaña son los de la falsa coalición de Claudia Lopez y Fajardo lo peor es que an convencido a Robledo de que esta en. El bando bueno y a petro lo quieren eliminar de todo,-1
VIVA  Juan Manuel Santos - Presidente,1
ABAJO CLAUDIA LOPEZ,-1
"El arte de la caricatura y el humor con que se comparte,son parte de esta sociedad,pese a las criticas que le hacen a usted si es uribista,o dan mermelada,si es de este lado o el otro,usted sigue manteniendo este arte lejos de las alineaciones politicas en las que se a suemrgido este pais,adelante Matador siga con el humor que nos hace reir todos los dias y sus mensajes atravez de sus caricaturas.",1
Gracias Présidente Juan Manuel Santos,1
Si su pieras matador que la fiscal de Venezuela es más corrupta que el fiscal Neira,-1
"Señor Alvaro Uribe usted criticando que raro, no olvide que usted tiene más pulgas que cualquiera, usted siempre ha sido el más interesado en que este proceso no se de y nada raro seria que sea el responsable de entorpecerlo, deje en paz a este país y no genere más corrupción de la que esta untado usted y su gobierno",-1
Ustedes los Colombianos tienen el hombre que si acabaría con el trafico de narcóticos y ese hombre se llama Alvaro Uribe Velez.,1
"Se debe de dar gracias al todo poderoso ,por la bendición que da a través de el señor Alvaro Uribe velez.",1
"Jajajajajajajaj muy buena, ese es el sentido que debemos darle a los alaridos inconscientes del jefe paraco y senador Alvaro Uribe, esa es la importancia que demos darle, como lo que en verdad es, una pequeña podrá en el zapato, molesta pero al fin de cuentas una insignificante piedra.",-1
viva mi libertador  alvaro uribe velez,1
Y de le al matador el eterno enamorado de Uribe  Vive pendiente que dice Uribe para poder hacer la caricatura por que no sabe hacer más ....,0
"La recomendación que hace Claudia LÓPEZ es muy importante ante todo para las víctimas puesto q aquellos q cometieron crímenes de lesa humanidad no podrían ser elegidos en acción popular hasta no cumplir con las sanciones pertinentes sentenciadas por la JEP, sin embargo los guerrilleros admistiados podrían tener participación política sin ningún problema.",0
"Estamos casi  que en Venezuela , a diferencia de ellos el dictador y rata se llama Juan Manuel Santos y su corte de súbditos . Malditos que quieren ver el pueblo morir de hambre mientras ellos se llenan de riquezas a costillas del pueblo trabajador . Perros que quien sabe quien los parió !!!!!!!!!!",-1
"Ese hombre si es el verdadero Super Colombiano y nuestro libertador, un hombre de guevos que no le tiembla la boca pa decirle la verdad al que sea y con fundamentos......que viva Alvaro Uribe Velez, cuanto le hace falta a este país un hombre así para dirigirlo....ud señor presidente es un Varon jueputis",1
"Ser consistente implica ser coherente y ademas persistir o construir u entrañar algo en la  historia, construir,  entonces en algo tendrá razón usted Álvaro Uribe Vélez  y Clara con  lo de de bandido,y aunque esas descripciones suyas Doctor son CONSISTENTES  lo que si no son es  RESISTENTES casualmente en este país ningún proceso avanza ...",-1
"Mi apoyo total para ti y el derecho a la libre expresión, Un abrazo Daniel Samper Ospina",1
"Dicho por nuestros Viejos "" Han habido dos presidentes Excelentes Alvaro Uribe y Gustavo Rojas Pinilla ........El Dr Luis Carlos Galán también pintaba bien ( que pesar que lo hayan asesinado .......)",1
"Adelante mi presidente favorito Álvaro Uribe Vélez, usted ha sido el mejor presidente que ha tenido Colombia y muchos lo reconocemos. Nada de las calumnias que le han inventado sus narco enemigos comunistas se le han probado, usted ha sido investigado y esta limpio, es inocente. De Jesucristo también hablaron mal, no se preocupe, siga adelante. Sabemos que todo es una artimaña de la guerrilla para tomarse el poder del país y volverlo como Venezuela, por eso envenenan a la gente hablando mal de usted y de su partido Centro Democrático para que la gente vote por alguno de los candidatos de las FARC, gente de izquierda que sólo busca comunismo en el país. Pues no les vamos a dar gusto, somos más los colombianos pensantes y prudentes que apoyamos la democracia y le decimos no a la impunidad y al socialismo. #Sialapazperonoasi #Amoacolombia por eso apoyo al #CentroDemocratico #ColombiaNoSeRinde #HagamosAlgo #SalvemosaColombia",1
Viva Uribe! Queremos mucho a Álvaro Uribe. Saludos.,1
22 denuncias a Claudia López por decirles la verdad en la cara y a voz populi y si se a rectificado porque la justicia paupérrima de retrocesos así lo pide viejita bruta y ladrona.,-1
filicidades a los que reeligieron e juan manuel santos el hombre que en menos de 4 años regalo el pais y vendio el agua de colombia,-1
"Arriba fajardo,claudia lopez y robledo",1
Adelante señor presidente Álvaro Uribe  Colombia lo apoya mi familia  todos estamos con usted siga adelante derroteros los que  traicionan la patria.,1
"¿Ahora que Petro puntea no te conviene Matador, por qué nunca he visto nada en referencia a Claudia López o Fajardo?",-1
Le tienen miedo a Claudia López,0
"Personajes nefastos como Uribe ya se han presentado en otros paises, tal es el caso de Venezuela... violando la libertad de prensa, insultando gravemente a sus detractores, subiendo al poder a delincuentes. Él no es la versión colombiana de Chaves es la versión colombiana de Maduro. Mucho cuidado compatriotas, el socialismo o ultra izquierda es igual a la ultra derecha. ""Ya en el poder y con mucho dinero son exácamente lo mismo, primero ellos, segundo ellos y tercero ellos... y nostros nos mandan a callar y aguantar hambre"". Estoy con vos Daniel Samper Ospina",-1
"Dr Alvaro Uribe Vélez por que no se entrega a la JEP antes que la CPI lo agarre, diga la verdad acerca  de sus crímenes y así contribuye con la paz de Colombia, paga pocos años de cárcel y evita un proceso peor ante la Corte Penal Internacional",-1
"Estaba bueno hasta que nombro a Petro malintencionadamente ,, para favorecer a la amiga senadora Claudia Lopez,, de razon amigos petristas lo estan dejando de seguir",-1
Ordenaron su puta madre oye está malparida donde vive o es guerrillera por q habla así si no ha vivido la guerra ni ha tocado su familia.... necesitamos a ALVARO URIBE pa que les metas unas cuantas bombas a ese perros que hicieron daño a la patria,-1
Dios bendiga al.mejor presidente de Colombia doctor ÁlvAro Uribe Vélez declaró un cuidado sobrenatural del cielo en el nombre de Jesús,1
Álvaro Uribe Vélez :v,0
"De muy mal gusto que el debate político se base en mentiras y difamación es cada día quiero menos al doctor Uribe  para el tiempo y demuestra que no es digno representante de nosotros los colombianos debemos despertar y votar por gente nueva que no polarice nuestro país y que tampoco  nos lleve al caos , gracias Dr Uribe por lo bueno que hizo lo malo que Dos se lo pague pero por favor ya dejé en paz a mi Colombia y a sus ciudadanos que tienen sentido crítico y social cómo nuestro querido periodista Daniel Samper a quien pido Dios le guarde y proteja y le de victoria en lo que emprenda.",0
Dios te bendiga Álvaro Uribe,1
Doctor alvaro uribe mis respeto estos son los dirigentes q se me meresen nuestro pais,1
Que tipejo tan mañoso.este alvaro uribe.,-1
"Claudia López cree tener la verdad sobre las verdades, ella con bipolaridad política, se asume como la portadora de las soluciones mesiánica cosa totalmente absurda. Yo creo que debe aprender a respetar a sus diferentes. A mi su forma de llamar la atención y de hacer política a costa de la imagen ajena. Eso no Va!",-1
Bendiciones al Presidente Álvaro Uribe Vélez. Totalmente de acuerdo con Ud. Salve Ud la Patria.,1
Saludos Juan Manuel Santos - Presidente desde puerto tejada,0
Adelante Claudia López mi apoyo total.,1
Vayan disfruten tragos y comidas caras hotel de lo máximo tranquilos q el pueblo q ustedes roban asesinan y maltratan su ecosistema paga todo con la complicidad de su máximo jefe Juan Manuel santos disfruten honorables colombianos ..... Estos perros miserable lo q se debe hacer es expulsarlos de el país x traidores a la patria x asesinos x ladrones y x inducir la juventud colombiana al mundo de la drogadicción malditos perros sarnosos,-1
NO A LA PAZ DE JUAN MANUEL SANTOS,-1
"No imagino lo frustrante que debe ser trabajar entre tantos corruptos, que cometen crímenes a diario y se ayudan entre ellos para gozar de impunidad. Claudia López, una mujer valiente, que tiene una hoja de vida intachable nos está enseñando que ante la corrupción política y social no debemos callar #TotalApoyoAClaudiaLopez 🇨🇴",0
"Por Colombia, por la democracia, Álvaro Uribe Vélez  👍",0
"No veo el porqué criticarlo Matador si lo que hace es lo mismo que vos, DENUNCIAR una serie de actividades de dudosa procedencia. Dicho ésto, me retiro y que tengás un buen día.",0
Claudia López lo acusa de corrupto y le canta la tabla pero el espectador juega con títulos y lo pone a el como el protagonista y a los otros como atacantes. Juego de palabras,-1
"Mi divertido Daniel Samper, siempre tan divertido y acertado, ya pronto nos veremos en Yopal, no me alcanza para VIP, pero desde el gallinero te voy a ver",1
La Colombia nueva solo tiene un nombre: Claudia López,1
Juan Manuel Santos hace honor a sus ancestros con mucho PUNDONOR y CORAJE.Presidente abierto a los retos administrativos de su gobierno.,1
"El jefe de la dos manadas criminales   FARC y ELN es la pesadilla de Colombia , Juan Manuel santos "" alias Santiago "". Los acuerdos con esos criminales es para que los matones, rateros , y violadores lacras humanas mafia criminal santos FARC Eln  esclavicen a los colombianos para que trabajen de gratis para ellos !!!! .... Porque los matones de las FARC no han entregado las armas ? Porque la guerrilla es el ejército del maricon Juan Manuel santos , con esa manada guerrillera Juan Manuel santos va a fusilar a los opositores...... La solución al conflicto con la dictadura santos pasa por matar al dictador Juan Manuel santos alias Santiago. En Colombia hay una guerra de guerrillas que  lleva más de un siglo : todo el siglo 20 y lo que va del siglo 21, con el objetivo de implantar el socialismo en Colombia y que santos está imponiendo a la mala. Los matones de las FARC han infiltrado a todas las instituciones de Colombia !!!! Todo lo han comprado con el dinero que la guerrilla le ha robado y le sigue e robando a los colombianos de bien !!!!!  .... El conflicto colombiano no se va a resolver por la vía electoral porque Juan Manuel santos alias Santiago se va a robar las elecciones !!!!!! , es por eso de que Colombia necesita una revolución y ganarla para que al triunfar la revolución en todas las plazas públicas de Colombia cortar las cabezas de todos los traidores de Colombia , que no quede ningún traidor vivo !!!!! Y al llegar al poder copiar casi textual las leyes de los países del Medio Oriente , de China , singapur , las leyes de los Estados Unidos para enfrentar a los criminales , pena de muerte para los matones , secuestradores ,violadores , rateros , funcionarios corruptos , pena de muerte para los promotores del socialismo , y verán que nadie se meterá a la guerrilla ni a ninguna banda criminal y ningún colombiano se robará un peso ...se acabarán los promotores del socialismo "" esclavitud "".... Eliminar  a la mayoría de los paridos políticos para no mantener a políticos parásitos, seguir el ejemplo de la democracia norteamericana , con dos partidos políticos , ... Los Estados Unidos es la mejor democracia  de todo el mundo !!!!!",-1
Dios te bendiga Alvaro Uribe arriba!!,1
Uribe dandóle látigo a la populista y mentirosa de Claudia López pa que respete!,0
Juan Manuel santos jefe máximo de la farc  No tiene vergüenza de entregar el país a la guerrilla Prefiero ver al país en una guerra contra la guerrilla  Que una pas de estas características  Bien lo decía wiston Churchill El que hace la paz se queda con la ofenza y con la guerra  Juan Manuel santos es usted un maldito,-1
Doctor Alvaro Uribe usted si es un hombre consistente. Cuanto te extrañamos,1
se parece a claudia Lopez,0
Adelante Claudia López 💚 tiene mi voto y mi apoyo total,1
Con usted siempre presidente alvaro uribe,1
Tome su paz juan manuel santos.,-1
Felicidades doctor alvaro uribe velez usted es una gran persona,1
Genial matador. No se le escapa detalle. Esos calzoncillos con el signo pesos..,0
de todas maneras es de admirar la terquedad de los contradictores de alvaro uribe a pesar de versen tan perdidos y tan poquitos siguen buscando argumentos  chimbos para  joderlo y saben que cuanto mas le inventan mas seguidores lo apoyan pero no se rinden .los admiro bobitos,-1
De vainas no ha salido el sapo de Juan Manuel Santos a decir que eso se lo deben a el..,-1
"Viva Uribe! Daniel Samper corrupto igual al tío, viene a dárselas de honrado 😎",0
"es muy cerca igual que turquia, Matador",0
ACCIONES ES LO QUE EXIGIMOS TODOS LOS COLOMBIANOS BURLADOS POR LAS FARC YA ÓRDENES DE CAPTURA A TODO EL SECRETARIADO CLAUDIA LÓPEZ Y CIA SEA COHERENTE CON LA ANTICORRUPCIÓN QUE PROMUEVE LAS FARC HAN INCUMPLIDO DEBEM SER JUZGADOS POR JUSTICIA ORDINARIO COMO CUALQUIER COLOMBIANO CRIMINAL,-1
LE VOY A DAR UNA RAZÓN SEÑOR MATADOR POR QUE GENTE COMO USTED QUE ESTÁ EN LOS MEDIOS QUE DEBE PREOCUPARSE POR PUBLICAR ESTAS  MASACRES EN EL MUNDO ENTERO. PREFIEREN VIVIR HABLANDO Y SOÑANDO CON URIBE DÌA Y NOCHE Y SE LES OLVIDA QUE EXISTE LOS DEMÀS!,0
Pudo más la propaganda homosexual y los gritos de claudia López para quedarse con la candidatura presidencial que la claridad y la coherencia de vida del doctor robledo,-1
Aprenda senadora claudia lopez  a debatir  sin tanta groseria 👎👎,-1
"Esos bandidos, criminales, saqueadores del erario de los colombianos, llamados congresistas, quedaron ardidos con la 'cantada de tabla' quede manera frenteada les pegó en el debate del Congreso. Felicitaciones HONORABLE SENADORA, Claudia N. López H, HONORABLE SENADOR, Jorge Robledo, que la Divina Providencia los proteja, los conserve y les siga dando la inteligencia y sabiduría, para combatir esa recua de POLITIQUEROS indeseables.",-1
"En mí casa votaremos por el candidato de Álvaro Uribe, a ver si Santos nos vuelve a robar",0
Te amo claudia lopez eres grande,1
Claudia lopezzzzz💚💚💚💚,1
"ASI COMO VAMOS EN NUESTRA PATRIA, MAÑANA JUAN MANUEL Juan Manuel Santos - Presidente DA ORDEN AL SISTEMA JUDICIAL, PARA QUE NO SEAN SENTENCIADOS Y HAGAN PARTE DE LA NEGOCIACIÓN DEL PLEBISCITO TRAMPOSO A FAVOR DEL CRIMEN URBANO! MINIMO LES DA UNA CURUL AL Senado Colombia Y OTRA A LA CAMARA DE REPRESENTANTES! POR QUE SER CRIMINAL TIENE BENEFICIOS Y GARANTIAS!",-1
"Esa Claudia Lopez es una mentirosa demagoga, habla solo con mentiras",-1
Álvaro Uribe Vélez.Bendiciones,1
"Que bueno este comentario, por que todo le sale a este señor Daniel Samper, y hay quien lo vaya a escuchar.",0
Jajajaaj. Aplausos MATADOR. El Mejor!!!,1
"Esté no es un acto de Juan Manuel Santos, es un honor a Colombia..",1
#nomevendoporuntamal #vargasllerafracasado Compartan compartan Twitter Facebook Claudia López presidente #renunciefiscal,0
NOS SOBRA FIRMEZA PARA DEFENDER A ÁLVARO URIBE VÉLEZ,1
GRACIAS A DIOS TENEMOS UN HOMBRE COMO ALVARO URIBE ...QUE SERIA DEL PUEBLO COLOMBIANO,1
"Claudia López, santa no es. Todos ellos tienen su guardado.",-1
GRACIAS  A DIOS  PUSO A EL Juan Manuel Santos - Presidente  PARA QUE  LOS POBRES  TUVIERAN ALGO.,1
"El día que Claudia López hable en senado de las conexiones de corrupción entre su jefe político Peñalosa y Vargas Lleras quien fue el que lo llevó a la alcaldía de Bogota, ese día creeré en ella.",-1
"Senor Daniel Samper usted te esperamos mente confía en la justicia de Colombia ,será que van hacer algo al respecto lo dudó mucho a muy a mi pesar por qué la justicia colombiana  sirve a los políticos",0
"Es diferente ser un violador de niños a ser un violador de los derechos de los niños. Por esta razón el ex-presidente Uribe está en la obligación ética y moral de pedir perdón públicamente, es necesario que sea él quien públicamente proteja la vida de Daniel Samper, de sus fanáticos seguidores para que no lo conviertan en otro Charlie Hebdo ó en otro Jaime Garzón.",-1
EL TÍTERE DE LAS -FARC JUAN MANUEL SANTOS,-1
Ya tenemos el ejemplo de venezuela despues no estemos llorando porque es muy tarde y una vez que estos hampones esten arriva nadie los baja gracias juan manuel santos por su .PAZ,-1
"Matador deja de joder a Uribe , mire el tema de los ñoños",-1
"Claudia López , claudia lopez , es la mata del cinismo",-1
"MATADOR, ERES GENIAL",1
"No más Daniel samper,,, artículo 218 CP. PORNOGRAFIA INFANTILEl que fotografíe, filme, grabe, produzca, divulgue, ofrezca, venda, compre, posea, porte, almacene, trasmita o exhiba, por cualquier medio, para uso personal o intercambio, representaciones reales de actividad sexual que involucre persona menor de 18 años de edad, incurrirá en prisión de 10 a 20 años y multa de 150 a 1.500 salarios mínimos legales mensuales vigentes. ESTO BASADO EN TUS FOTOS SOHO",-1
👉¡Apoyo Total! a Jorge Robledo ¡PRESIDENTE 2018-2022 para acabar con el carrucel de los mismos con las mismas👈,1
Ese Daniel Samper se ahorcó con su propia soga..cuando acusa a Uribe de manejar la impunidad..con eso Uribe lo empapela por que lo va a poner con sus abogados que son unos monstruos a que compruebe la tal impunidad de que habla y lo acusa en el video...el pobre salió a deberle al expresidente. Q tal esto.,-1
"Me da pena con Ud Claudia López... pero Ud no puede hablar de las cortes o de la corte Constitucional, cuando los más corruptos de Colombia, además del Congreso en su mayoría,  son las mismas cortes y magistrados.. o Ud no se está dando cuenta de los escándalos de corrupción de los togados?.. esos acuerdos de paz de la Habana, no fueron de paz, fueron unos acuerdos de impunidad y corrupción... estoy de que acuerdo en que exista PAZ... pero lo que se hizo en Cuba, fue una mano de morcillas mal amaradas y todo a espaldas de los colombianos.. sólo porque unos cuantos decidieron por nosotros... no insista y menos trate de seguir imponiendonos sus ideas y deseos.... más bien critique a Gina Parody y su novia para que sean juzgadas por ladronas. De eso no dice ni miércoles.. . Y no soy guerrista y menos Uribestia...",-1
"Alvaro uribe vélez,EL MEJOR presidente en la historia de colombia.",1
"Creo que si la mayoría de los colombianos viéramos mas seguido los debates del recinto, no elegiríamos tanta rata! gracias Claudia López por compartir",0
Gracias matador,0
"Una clara evidencia de los medios de comunicación comprados por el mismo presidente  Juan Manuel Santos, manada de arrodillados.",-1
"Dios lo bendiga presidente Juan Manuel Santos, Ud ha echo por este pais lo que ningun presidente a echo, ayudar a los jóvenes y a mejorar la imagen de nuestro pais ante el mundo. Muchas gracias",1
"Cuando el objetivo es polarizar a la gente sin importar cuántas mentiras se tengan que decir, el comportamiento de Uribe y muchos políticos del país es reprochable y lo padecemos todos los días: insultos, tergiversaciones, incluso amenazas por redes, por ello la mayoría de los  colombianos manifestamos solidaridad con Daniel Samper y hacemos el llamado a superar el odio irracional en el debate político nacional, para de esta forma lograr una democracia sería que contribuya al progreso del país. #porElRespeto",-1
Total apoyo Claudia López y Jorge Enrique Robledo Castillo.  Muy clara su intervención.,1
"Matador, me decepcionó con lo del comunicado al Dr Uribe, a partir de ahora queda bloqueado",-1
Es cierto que Alvaro Uribe Velez; es un Bandido este personaje no es Inteligente; es un Bandido Astuto; lacra algún día Dios tiene que haber justicia para todos las personas como este tipo; la justicia Divina tarda pero llega,-1
"Genial,Daniel Samper es muy gracioso y con estilo de Norberto,pela de todos los partidos y senadores de la República.",1
